Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037219500","14000US06037219500","Census Tract 2195","Census Tract 2195, Los Angeles County, California","ca","140","00","ACSSF","0004533",,,,,"06","037",,,,"219500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084,589,1029,0,287,0,110,69
"06037219700","14000US06037219700","Census Tract 2197","Census Tract 2197, Los Angeles County, California","ca","140","00","ACSSF","0004534",,,,,"06","037",,,,"219700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4507,1868,1256,18,112,0,1217,36
"06037219800","14000US06037219800","Census Tract 2198","Census Tract 2198, Los Angeles County, California","ca","140","00","ACSSF","0004535",,,,,"06","037",,,,"219800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861,1576,518,0,78,0,606,83
"06037219901","14000US06037219901","Census Tract 2199.01","Census Tract 2199.01, Los Angeles County, California","ca","140","00","ACSSF","0004536",,,,,"06","037",,,,"219901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150,2574,898,0,59,0,548,71
"06037219902","14000US06037219902","Census Tract 2199.02","Census Tract 2199.02, Los Angeles County, California","ca","140","00","ACSSF","0004537",,,,,"06","037",,,,"219902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809,1840,592,36,130,26,1076,109
"06037220000","14000US06037220000","Census Tract 2200","Census Tract 2200, Los Angeles County, California","ca","140","00","ACSSF","0004538",,,,,"06","037",,,,"220000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711,1533,1545,0,340,23,1208,62
"06037220100","14000US06037220100","Census Tract 2201","Census Tract 2201, Los Angeles County, California","ca","140","00","ACSSF","0004539",,,,,"06","037",,,,"220100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,590,1327,0,232,0,152,114
"06037221110","14000US06037221110","Census Tract 2211.10","Census Tract 2211.10, Los Angeles County, California","ca","140","00","ACSSF","0004540",,,,,"06","037",,,,"221110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705,1980,51,0,138,0,1498,38
"06037221120","14000US06037221120","Census Tract 2211.20","Census Tract 2211.20, Los Angeles County, California","ca","140","00","ACSSF","0004541",,,,,"06","037",,,,"221120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197,1404,16,0,70,0,1656,51
"06037221210","14000US06037221210","Census Tract 2212.10","Census Tract 2212.10, Los Angeles County, California","ca","140","00","ACSSF","0004542",,,,,"06","037",,,,"221210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165,1177,228,31,295,0,1353,81
"06037221220","14000US06037221220","Census Tract 2212.20","Census Tract 2212.20, Los Angeles County, California","ca","140","00","ACSSF","0004543",,,,,"06","037",,,,"221220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376,889,13,0,277,0,2197,0
"06037221302","14000US06037221302","Census Tract 2213.02","Census Tract 2213.02, Los Angeles County, California","ca","140","00","ACSSF","0004544",,,,,"06","037",,,,"221302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4373,1718,624,0,417,102,1414,98
"06037221303","14000US06037221303","Census Tract 2213.03","Census Tract 2213.03, Los Angeles County, California","ca","140","00","ACSSF","0004545",,,,,"06","037",,,,"221303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806,926,139,87,345,0,1289,20
"06037221304","14000US06037221304","Census Tract 2213.04","Census Tract 2213.04, Los Angeles County, California","ca","140","00","ACSSF","0004546",,,,,"06","037",,,,"221304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3656,354,416,0,884,0,1993,9
"06037221401","14000US06037221401","Census Tract 2214.01","Census Tract 2214.01, Los Angeles County, California","ca","140","00","ACSSF","0004547",,,,,"06","037",,,,"221401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628,973,1387,0,391,0,746,131
"06037221402","14000US06037221402","Census Tract 2214.02","Census Tract 2214.02, Los Angeles County, California","ca","140","00","ACSSF","0004548",,,,,"06","037",,,,"221402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851,795,689,0,435,0,842,90
"06037221500","14000US06037221500","Census Tract 2215","Census Tract 2215, Los Angeles County, California","ca","140","00","ACSSF","0004549",,,,,"06","037",,,,"221500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,1141,927,0,99,58,1646,4
"06037221601","14000US06037221601","Census Tract 2216.01","Census Tract 2216.01, Los Angeles County, California","ca","140","00","ACSSF","0004550",,,,,"06","037",,,,"221601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1112,478,40,178,0,1221,112
"06037221602","14000US06037221602","Census Tract 2216.02","Census Tract 2216.02, Los Angeles County, California","ca","140","00","ACSSF","0004551",,,,,"06","037",,,,"221602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,988,152,0,262,0,1596,32
"06037221710","14000US06037221710","Census Tract 2217.10","Census Tract 2217.10, Los Angeles County, California","ca","140","00","ACSSF","0004552",,,,,"06","037",,,,"221710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2833,747,142,0,651,0,1225,68
"06037221810","14000US06037221810","Census Tract 2218.10","Census Tract 2218.10, Los Angeles County, California","ca","140","00","ACSSF","0004553",,,,,"06","037",,,,"221810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2892,847,287,41,672,6,925,114
"06037221820","14000US06037221820","Census Tract 2218.20","Census Tract 2218.20, Los Angeles County, California","ca","140","00","ACSSF","0004554",,,,,"06","037",,,,"221820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2363,1116,231,9,847,8,80,72
"06037221900","14000US06037221900","Census Tract 2219","Census Tract 2219, Los Angeles County, California","ca","140","00","ACSSF","0004555",,,,,"06","037",,,,"221900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248,1724,387,59,1289,0,443,346
"06037222001","14000US06037222001","Census Tract 2220.01","Census Tract 2220.01, Los Angeles County, California","ca","140","00","ACSSF","0004556",,,,,"06","037",,,,"222001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142,1076,790,75,39,0,1046,116
"06037222002","14000US06037222002","Census Tract 2220.02","Census Tract 2220.02, Los Angeles County, California","ca","140","00","ACSSF","0004557",,,,,"06","037",,,,"222002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5243,1540,1181,0,39,0,2448,35
"06037222100","14000US06037222100","Census Tract 2221","Census Tract 2221, Los Angeles County, California","ca","140","00","ACSSF","0004558",,,,,"06","037",,,,"222100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4331,1215,1213,0,293,0,1572,38
